Name,Function,Completed,Code,Map Num,Address,Picture,MStartTime,TStartTime,WStartTime,ThStartTime,FStartTime,SaStartTme,SuStartTime,MEndTime,TEndTime,WEndTime,ThEndTime,FEndTime,SaEndTme,SuEndTime,Website
Alumni Engineering Labs,Engineering,1951,AEL,4,3141 Chestnut St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Baiada Center,Entrepreneurship ,,BAIADA,53,3218 Market Street,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,http://drexel.edu/baiada/about/overview/
Bossone Research Enterprise Center; School of Biomedical Engineering Science and Health Systems; Bossone,Scientific Research; Biomedical Engineering,2005,BSONE,7; 7A,3140 Market Street,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Center for Automation Technology,Instructional,1990,CAT,27A,3139 Ludlow St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Design Arts Annex,Art and Design,1986,CODANX,55A,101 N 33rd St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Curtis Hall,Engineering,1928,CURTIS,3,3141 Chestnut St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Disque Hall,College of Science,1967,DISQUE,12,3141 Chestnut St,http://biomed.drexel.edu/labs/biocirc-lab/images/facilities_disquehall.jpg,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Drexel Recreation Center; Gym; Recreation Center; Rec Center,Athletics and Recreation,2010,DRC,14A,3301 Market St,http://drexel.edu/~/media/Images/recathletics/rec-facilities/rec-center.ashx?h=198&w=652&la=en&hash=AEED382CC275320C17F2FCF5D53E2E42AA013A82,5:30 a.m.,5:30 a.m.,5:30 a.m.,5:30 a.m.,5:30 a.m.,8:00 a.m.,10:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,http://drexel.edu/recathletics/facilities
One Drexel Plaza; School of Education,Evening and Professional Studies,1993,DXLPLZ,88,3001 Market St,http://drexel.edu/~/media/Images/cci/Facilities/one-drexel-plaze-front.ashx?h=339&w=570&hash=08DDA2B2113FF226E515DE95AD3429FFCED792EE,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
LeBow Business; Goodwin College of Professional Studies; LeBow College of Business,Academic,2013,GHALL,61,3220 Market St,https://www2.lebow.drexel.edu/support/podcast/jpg/Building_thumbnail.jpg,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,www.lebow.drexel.edu
W.W. Hagerty Library; Hagerty,Library,1983,HAGRTY,15,3300 Market St,https://www.library.drexel.edu/sites/default/files/styles/panopoly_image_original/public/pages/hagerty-building.jpg?itok=_sONol_3,7:30 a.m.,7:30 a.m.,7:30 a.m.,7:30 a.m.,7:30 a.m.,10:00 a.m.,10:00 a.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,5:00 p.m.,5:00 p.m.,10:00 p.m.,https://www.library.drexel.edu/about-drexel-university-libraries
James E. Marks Intercultural Center; Newman Center; Intercultural Center; Marks Intercultural Center,Interfaith Spiritual Center,2010,INTCUL,55,101 N 33rd St,http://deptapp08.drexel.edu/ia/philanthropyjournal/11/images_donor/p10-3.jpg,8 a.m.,8 a.m.,8 a.m.,8 a.m.,8 a.m.,,,5 p.m.,5 p.m.,5 p.m.,5 p.m.,5 p.m.,,,http://drexel.edu/diversity/center/overview/
Korman Center; University Library,Information Science and Technology; Education,1959,KORMAN,6,3141 Chestnut St,,7:30 a.m.,7:30 a.m.,7:30 a.m.,7:30 a.m.,7:30 a.m.,10:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Language and Communication Center; Language Center,Language,,LANGCC,48,229 N 33rd St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,http://drexel.edu/elc/
College of Law Building; Kline Law Building and Library; Kline School of Law,Law,2007,LAWBDG,90,3320 Market St,http://drexel.edu/~/media/Images/law/Admissions/IMG_6228.ashx?h=756&w=1200&hash=BB4CB4F3DF8453ED0212232D22402551F8764F41,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,http://drexel.edu/law/studentLife/studentAffairs/
LeBow Engineering Center; College of Engineering; CoE,Engineering,1989,LEBOW,27,3120 Market St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
