,Please enter a question,Potential generic question,Generic answer number,InScope
,When does winter break start?,When does (Event) start?,0,yes
,When does winter break start?,Qhen does (Event) start?,0,yes
,When does winter break start?,Ehen does (Event) start?,0,yes
,When does winter break start?,Wgen does (Event) start?,0,yes
,When does winter break start?,Wjen does (Event) start?,0,yes
,When does winter break start?,Whwn does (Event) start?,0,yes
,When does winter break start?,Whrn does (Event) start?,0,yes
,When does winter break start?,Wheb does (Event) start?,0,yes
,When does winter break start?,Whem does (Event) start?,0,yes
,When does winter break start?,When soes (Event) start?,0,yes
,When does winter break start?,When foes (Event) start?,0,yes
,When does winter break start?,When dies (Event) start?,0,yes
,When does winter break start?,When dpes (Event) start?,0,yes
,When does winter break start?,When dows (Event) start?,0,yes
,When does winter break start?,When dors (Event) start?,0,yes
,When does winter break start?,When doea (Event) start?,0,yes
,When does winter break start?,When doed (Event) start?,0,yes
,When does winter break start?,When does (Event) atart?,0,yes
,When does winter break start?,When does (Event) dtart?,0,yes
,When does winter break start?,When does (Event) srart?,0,yes
,When does winter break start?,When does (Event) syart?,0,yes
,When does winter break start?,When does (Event) stsrt?,0,yes
,When does winter break start?,When does (Event) staet?,0,yes
,When does winter break start?,When does (Event) statt?,0,yes
,When does winter break start?,When does (Event) starr?,0,yes
,When does winter break start?,When does (Event) stary?,0,yes
,Where can I play squash?,Where can I play (Sport)?,0,yes?
,Where can I play squash?,Qhere can I play (Sport)?,0,yes?
,Where can I play squash?,Ehere can I play (Sport)?,0,yes?
,Where can I play squash?,Wgere can I play (Sport)?,0,yes?
,Where can I play squash?,Wjere can I play (Sport)?,0,yes?
,Where can I play squash?,Whwre can I play (Sport)?,0,yes?
,Where can I play squash?,Whrre can I play (Sport)?,0,yes?
,Where can I play squash?,Wheee can I play (Sport)?,0,yes?
,Where can I play squash?,Whete can I play (Sport)?,0,yes?
,Where can I play squash?,Wherw can I play (Sport)?,0,yes?
,Where can I play squash?,Wherr can I play (Sport)?,0,yes?
,Where can I play squash?,Where xan I play (Sport)?,0,yes?
,Where can I play squash?,Where van I play (Sport)?,0,yes?
,Where can I play squash?,Where csn I play (Sport)?,0,yes?
,Where can I play squash?,Where cab I play (Sport)?,0,yes?
,Where can I play squash?,Where cam I play (Sport)?,0,yes?
,Where can I play squash?,Where can U play (Sport)?,0,yes?
,Where can I play squash?,Where can O play (Sport)?,0,yes?
,Where can I play squash?,Where can I olay (Sport)?,0,yes?
